"Identifier","Identifier ARK","Title#1","Description#1","Description Type#1","Description#2","Description Type#2","Description#3","Description Type#3","Subject#1","Subject Type#1","Subject#10","Subject Type#10","Subject#11","Subject Type#11","Subject#12","Subject Type#12","Subject#13","Subject Type#13","Subject#14","Subject Type#14","Subject#15","Subject Type#15","Subject#16","Subject Type#16","Subject#17","Subject Type#17","Subject#18","Subject Type#18","Subject#19","Subject Type#19","Subject#2","Subject Type#2","Subject#3","Subject Type#3","Subject#4","Subject Type#4","Subject#5","Subject Type#5","Subject#6","Subject Type#6","Subject#7","Subject Type#7","Subject#8","Subject Type#8","Subject#9","Subject Type#9","Source#1","Creator#1","Creator Type#1","Contributor#1","Contributor Type#1","Contributor#2","Contributor Type#2","Contributor#3","Contributor Type#3","Contributor#4","Contributor Type#4","Contributor#5","Contributor Type#5","Contributor#6","Contributor Type#6","Contributor#7","Contributor Type#7","Rights#1","Rights URI#1","Date#1","Format Medium#1","Format Media Type#1","Format Media Type URI#1","Language#1","Language URI#1","Language#2","Language URI#2","Language#3","Language URI#3","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"L-50-41 Chants - featuring Ginsberg -2.mp3","","Demonstration of audio modulation","00:00 Narrator explains the audio is a demonstration of the audio modulation contained on various types of radar echoes such as the revolving propellers of aircrafts; 00:33 Various sounds of moving propellers can be heard on the recording; 01:42 Single Boeing B-17 can be heard flying in the recording; 02:40 Sound of a helicopter executing circles 2 miles from the radar; 03:46 Narrator talks about the echo box in relation to the helicopter. Sounds from the helicopter continue to record; 04:47 Narrator talks about modulation and antenna beams. Another sound appears, similar to static; 07:28 Narrator talks about signal ranges and stormy conditions present during some the recordings. An example is played; 8:10 Narrator talks about a doppler wheel and plays an example of a recording; 09:58 Narrator talks about the experimentation of removing and adding power to the doppler wheel and plays an example recording; 10:53 Narrator talks about the recording for an AT-11 aircraft and chaff dispensing system and then plays an example recording; 12:38 Narrator plays another recording of the AT-11; 13:29 Narrator talks about the sounds produced in the absence of pilots and plays an example recording; 14:05 Narrator talks about the doppler return from automobile traffic and plays a recording; 14:42 Narrator plays an audio modulation for heavy surf; 15:17 Recording cuts out and ends.","SegmentSequence","","","","","Propellers, Aerial","http://id.worldcat.org/fast/1079099","","","","","","","","","","","","","","","","","","","","","Sound -- Recording and reproducing","http://id.loc.gov/authorities/subjects/sh85125368","","","","","","","","","","","","","","","","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","[Ginsberg, Allen, 1926-1997]","http://id.loc.gov/authorities/names/n79109040","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","[1965]","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1095427","4969","L-50-41 Chants - featuring Ginsberg -2.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1095427~132815"
"narv_#01MichaelMcClure.mp3","https://ark.colorado.edu/ark:/47540/7v343z64f624","Michael McClure sings his poetry","Michael McClure sings two of his poems, including 'The God I Worship is a Lion.'","Abstract","00:00 Music begins 12:43 Music ends 12:43 End","SegmentSequence","","","McClure, Michael","http://id.loc.gov/authorities/names/n79032189","","","","","","","","","","","","","","","","","","","","","Poets -- 20th century","local","Music -- 20th century -- Miscellanea","local","Singing -- United States -- 1960-1970","local","","","","","","","","","","","narv_#01MichaelMcClure","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","McClure, Michael","http://id.loc.gov/authorities/names/n79032189","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1085997","4969","%2301 Michael McClure.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1085997~131781"
"narv_#02Meader1.mp3","https://ark.colorado.edu/ark:/47540/mv5t4p11b3db","Meader - Part 1","The speaker addresses Stan Brakhage and thanks him for ""Songs 1, 2, and 3."" The speaker discusses 8 mm film. The audio clip contains a compilation of audio files, including music, speeches, and screaming. Continued on 'Meader - Part 2'","Abstract","00:00 begins 10:23 ends 10:34 Audio clip begins 29:18 Audio clip ends 29:30 Speaker begins 33:57 End","SegmentSequence","","","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","","","","","","","","","","","","","","","","","","","","","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Independent filmmakers -- United States","local","","","","","","","","","","","","","narv_#02Meader1","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1085999","4969","%2302 Meader -1.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1085999~131782"
"narv_#02Meader2.mp3","https://ark.colorado.edu/ark:/47540/d16t6945d72f","Meader - Part 2","Continues 'Meader - Part 1.' The speaker plays a compilation of various music clips, including some music by Charles Mingus. The speaker describes Charles Mingus' work, and talks about being an artist and composer.","Abstract","00:00 Audio clip begins 17:36 Audio clip ends 17:40 Speaker begins 33:49 End","SegmentSequence","","","Artists","http://id.loc.gov/authorities/subjects/sh85008276","","","","","","","","","","","","","","","","","","","","","Mingus, Charles, 1922-1979","http://id.loc.gov/authorities/names/n80057165","","","","","","","","","","","","","","","narv_#02Meader2","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086001","4969","%2302 Meader -2.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086001~131783"
"narv_#03InnerCinema1.mp3","https://ark.colorado.edu/ark:/47540/hx580v55m5wc","Stan Brakhage and Hollis Frampton on film making - Part 1","Stan Brakhage recalls being introduced to Hollis Frampton's work. Frampton mentions the difficulty of describing art. Brakhage and Frampton lament the current inaccessibility to film as an art form. Brakhage describes the pros and cons of 8 mm film. He describes why wealthy people are not interested in film as an art. Brakhage gives an explanation of why he believes people need to possess things. Frampton points out the ubiquity of data collection on people. Continued on 'Stan Brakhage and Hollis Frampton on film making - Part 2.'","Abstract","00:39 Jud Yalkut begins 00:40 Stan Brakhage begins 02:31 Brakhage ends 02:32 Yalkut begins 02:42 Yalkut ends 02:43 Brakhage begins 03:44 Brakhage ends 03:45 Hollis Frampton begins 05:48 Frampton ends 07:25 Brakhage begins 10:26 Brakhage ends 10:27 Frampton begins 15:15 Frampton ends 15:16 Brakhage begins 17:48 Brakhage ends 17:49 Yalkut begins 19:00 Yalkut ends 19:01 Brakhage begins 20:22 Brakhage ends 20:23 Frampton begins 21:46 Frampton ends 21:47 Brakhage begins 24:12 Brakhage ends 24:13 Frampton begins 25:13 Frampton ends 25:12 Yalkutbegins 25:27 Yalkut ends 25:28 Brakhage begins 27:52 Brakhage ends 27:53 Yalkut begins 27:58 End","SegmentSequence","","","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","","","","","","","","","","","","","","","","","","","","","Frampton, Hollis, 1936-1984","http://id.loc.gov/authorities/names/n81015232","Rich people -- Psychology","local","Art and motion pictures","http://id.loc.gov/authorities/subjects/sh85007966","Independent filmmakers -- United States","local","","","","","","","","","narv_#03InnerCinema1","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Frampton, Hollis, 1936-1984","http://id.loc.gov/authorities/names/n81015232","Yalkut, Jud","http://id.loc.gov/authorities/names/n87128487","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1972","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086003","4969","%2303 Inner Cinema -1.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086003~131784"
"narv_#03InnerCinema2.mp3","https://ark.colorado.edu/ark:/47540/t92j0x50b17b","Stan Brakhage and Hollis Frampton on film making - Part 2","Continues 'Stan Brakhage and Hollis Frampton on film making - Part 1.' Stan Brakhage describes how boring the moon landing images were. He discusses the making of his Pittsburgh Trilogy. Brakhage laments the state of art in New York. He describes humor and narrative structure in film. Brakhage recalls seeing some children on the streets of New York. He describes artists as being in the ""middle"" of political extremes. Brakhage gives his opinion on large cities. He cites the importance of the Anthology Film Archive and the Cineprobe series and the difficulty of renting independent films. Brakhage explains his frustrations with museums and the way they pay artists.","Abstract","00:00 Audio clip begins 00:28 Audio clip ends 00:37 Jud Yalkut begins 00:50 Yalkut ends 00:51 Stan Brakhage begins 32:30 Brakhage ends 32:31 Yalkut begins 32:46 Yalkut ends 32:47 Brakhage begins 42:31 End","SegmentSequence","","","Art -- United States -- 20th century","local","","","","","","","","","","","","","","","","","","","","","Artists -- United States -- Attitudes","local","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Independent filmmakers -- United States -- Interviews","local","Pittsburgh trilogy","local","Anthology Film Archives","http://id.loc.gov/authorities/names/n80144907","Cineprobe","local","","","narv_#03InnerCinema2","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Yalkut, Jud","http://id.loc.gov/authorities/names/n87128487","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1972","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086005","4969","%2303 Inner Cinema -2.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086005~131785"
"narv_#04BensonBlueMoses.mp3","https://ark.colorado.edu/ark:/47540/nf3c8j26d2td","Robert Benson: Sound recording","The sound of birds chirping can be heard in the background. Robert Benson says a few lines. A woodwinds instrument is played.","Abstract","00:00 Robert Benson begins 09:18 Benson ends 09:19 Audio clip begins 14:58 End","SegmentSequence","","","Birdsongs","http://id.loc.gov/authorities/subjects/sh85014302","","","","","","","","","","","","","","","","","","","","","Sound -- Recording and reproducing","http://id.loc.gov/authorities/subjects/sh85125368","","","","","","","","","","","","","","","narv_#04BensonBlueMoses","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Benson, Robert, 1944-","http://id.loc.gov/authorities/names/no98085064","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086007","4969","%2304 Benson %27Blue Moses%27.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086007~131786"
"narv_#05JamesTenneyLecture.mp3","https://ark.colorado.edu/ark:/47540/229n2c102589","James Tenney lecture on computer-generated music","Tenney begins by exploring the origins of new artistic techniques and then continues to describe computer-generated music (electronic music) as a result of a new technique. He goes into the scientific basis of sound, and then describes how a computer translates code into sounds. He explains the process of making electronic music on a computer. The speaker and audience members discuss various ways to create electronic music and the techniques involved. The lecture was given at Bell Labs.","Abstract","00:00 Tenney begins 38:37 Tenney ends 38:38 Discussion with the audience begins 43:22 End","SegmentSequence","","","Tenney, James","http://id.loc.gov/authorities/names/n84148369","","","","","","","","","","","","","","","","","","","","","Computer music","http://id.loc.gov/authorities/subjects/sh85029511","Electronic music","http://id.loc.gov/authorities/subjects/sh85042350","Sound -- Recording and reproducing -- Digital techniques","http://id.loc.gov/authorities/subjects/sh85125369","","","","","","","","","","","narv_#05JamesTenneyLecture","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Tenney, James","http://id.loc.gov/authorities/names/n84148369","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1962","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086009","4969","%2305 James Tenney lecture.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086009~131787"
"narv_#06BabyBirthMyrrena.mp3","https://ark.colorado.edu/ark:/47540/pr330x1969m4","Sound track of 'Window Water Baby Moving'","This file contains the soundtrack to Stan Brakhage's film 'Window Water Baby Moving,' which features the birth of his first child, Myrrena. Jane Brakhage can be heard going through labor pains, while a nurse and doctor attempt to comfort her. Then Brakhages briefly speak to one another during the process. Myrrena's first cries can be heard at around 12:31.","Abstract","00:00 Audio clip begins 14:13 Audio clip ends 14:13 End","SegmentSequence","","","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","","","","","","","Wodening, Jane, 1936-","http://id.loc.gov/authorities/names/n88177560","Window Water Baby Moving (Motion picture)","local","Delivery (Obstetrics)","http://id.loc.gov/authorities/subjects/sh85036582","Labor (Obstetrics)","http://id.loc.gov/authorities/subjects/sh85073636","Childbirth in art","http://id.loc.gov/authorities/subjects/sh96011758","","","","","","","narv_#06BabyBirthMyrrena","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Wodening, Jane, 1936-","http://id.loc.gov/authorities/names/n88177560","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086011","4969","%2306 Baby Birth Myrrena.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086011~131788"
"narv_#07ConcreteAndComputerTenny.mp3","https://ark.colorado.edu/ark:/47540/pr604061t5nf","James Tenney: music pieces","Music by James Tenney plays, including sections of 'Phases (For Edgar VareÌ€se),'two piano pieces,' 'Blue Suede,' 'Analog #1, and 'Dialogue.'","Abstract","00:00 'Phases' begins 02:39 'Phases' ends 03:26 Music begins 08:22 Music ends 08:24 Music begins 11:21 Music ends 11:23 'Blue Suede' begins 14:46 'Blue Suede' ends 15:01 'Analog #1' begins 19:16 'Analog #1' ends 19:17 'Dialogue' begins 23:26 End","SegmentSequence","","","Tenney, James","http://id.loc.gov/authorities/names/n84148369","","","","","","","","","","","","","","","","","","","","","Avant-garde (Music) -- United States","local","Composers -- United States -- 20th century","local","","","","","","","","","","","","","narv_#07ConcreteAndComputerTenny","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Tenney, James","http://id.loc.gov/authorities/names/n84148369","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","","","","","","","1086013","4969","%2307 Concrete and Computer - Tenny.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086013~131789"
