Identifier,Title#1,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Subject#1,Subject Type#1,Subject#10,Subject Type#10,Subject#11,Subject Type#11,Subject#12,Subject Type#12,Subject#13,Subject Type#13,Subject#14,Subject Type#14,Subject#15,Subject Type#15,Subject#16,Subject Type#16,Subject#17,Subject Type#17,Subject#18,Subject Type#18,Subject#19,Subject Type#19,Subject#2,Subject Type#2,Subject#3,Subject Type#3,Subject#4,Subject Type#4,Subject#5,Subject Type#5,Subject#6,Subject Type#6,Subject#7,Subject Type#7,Subject#8,Subject Type#8,Subject#9,Subject Type#9,Source#1,Creator#1,Creator Type#1,Contributor#1,Contributor Type#1,Contributor#2,Contributor Type#2,Contributor#3,Contributor Type#3,Contributor#4,Contributor Type#4,Contributor#5,Contributor Type#5,Contributor#6,Contributor#7,Rights,Date#1,Format Medium#1,Format Media Type#1,Language#1,Language#2,Language#3,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
narv_#01MichaelMcClure,Michael McClure sings his poetry,"Michael McClure sings two of his poems, including 'The God I Worship is a Lion.'",Abstract,00:00 Music begins 12:43 Music ends 12:43 End,SegmentSequence,,,"McClure, Michael",naf,,,,,,,,,,,,,,,,,,,,,Poets -- 20th century,lcsh,Music -- 20th century -- Miscellanea,lcsh,Singing -- United States -- 1960-1970,lcsh,,,,,,,,,,,narv_#01MichaelMcClure,"Brakhage, Stan",naf,"McClure, Michael",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1085997,4606,%2301+Michael+McClure.jpg
narv_#02Meader1,Meader - Part 1,"The speaker addresses Stan Brakhage and thanks him for ""Songs 1, 2, and 3."" The speaker discusses 8 mm film. The audio clip contains a compilation of audio files, including music, speeches, and screaming. Continued on 'Meader - Part 2'",Abstract,00:00 begins 10:23 ends 10:34 Audio clip begins 29:18 Audio clip ends 29:30 Speaker begins 33:57 End,SegmentSequence,,,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,,,,,,,,,,,"Brakhage, Stan",naf,Independent filmmakers -- United States,lcsh,,,,,,,,,,,,,narv_#02Meader1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1085999,4606,%2302+Meader+-1.jpg
narv_#02Meader2,Meader - Part 2,"Continues 'Meader - Part 1.' The speaker plays a compilation of various music clips, including some music by Charles Mingus. The speaker describes Charles Mingus' work, and talks about being an artist and composer.",Abstract,00:00 Audio clip begins 17:36 Audio clip ends 17:40 Speaker begins 33:49 End,SegmentSequence,,,Artists,lcsh,,,,,,,,,,,,,,,,,,,,,"Mingus, Charles, 1922-1979",naf,,,,,,,,,,,,,,,narv_#02Meader2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio.mp3,Sound,English,,,1086001,4606,%2302+Meader+-2.jpg
narv_#03InnerCinema1,Stan Brakhage and Hollis Frampton on film making - Part 1,Stan Brakhage recalls being introduced to Hollis Frampton's work. Frampton mentions the difficulty of describing art. Brakhage and Frampton lament the current inaccessibility to film as an art form. Brakhage describes the pros and cons of 8 mm film. He describes why wealthy people are not interested in film as an art. Brakhage gives an explanation of why he believes people need to possess things. Frampton points out the ubiquity of data collection on people. Continued on 'Stan Brakhage and Hollis Frampton on film making - Part 2.',Abstract,00:39 Jud Yalkut begins 00:40 Stan Brakhage begins 02:31 Brakhage ends 02:32 Yalkut begins 02:42 Yalkut ends 02:43 Brakhage begins 03:44 Brakhage ends 03:45 Hollis Frampton begins 05:48 Frampton ends 07:25 Brakhage begins 10:26 Brakhage ends 10:27 Frampton begins 15:15 Frampton ends 15:16 Brakhage begins 17:48 Brakhage ends 17:49 Yalkut begins 19:00 Yalkut ends 19:01 Brakhage begins 20:22 Brakhage ends 20:23 Frampton begins 21:46 Frampton ends 21:47 Brakhage begins 24:12 Brakhage ends 24:13 Frampton begins 25:13 Frampton ends 25:12 Yalkutbegins 25:27 Yalkut ends 25:28 Brakhage begins 27:52 Brakhage ends 27:53 Yalkut begins 27:58 End,SegmentSequence,,,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,,,,,,,,,,,"Frampton, Hollis, 1936-1984",naf,Rich people -- Psychology,lcsh,Art and motion pictures,naf,Independent filmmakers -- United States,lcsh,,,,,,,,,narv_#03InnerCinema1,"Brakhage, Stan",naf,"Frampton, Hollis, 1936-1984",naf,"Yalkut, Jud",naf,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1972,audio/mp3,Sound,English,,,1086003,4606,%2303+Inner+Cinema+-1.jpg
narv_#03InnerCinema2,Stan Brakhage and Hollis Frampton on film making - Part 2,"Continues 'Stan Brakhage and Hollis Frampton on film making - Part 1.' Stan Brakhage describes how boring the moon landing images were. He discusses the making of his Pittsburgh Trilogy. Brakhage laments the state of art in New York. He describes humor and narrative structure in film. Brakhage recalls seeing some children on the streets of New York. He describes artists as being in the ""middle"" of political extremes. Brakhage gives his opinion on large cities. He cites the importance of the Anthology Film Archive and the Cineprobe series and the difficulty of renting independent films. Brakhage explains his frustrations with museums and the way they pay artists.",Abstract,00:00 Audio clip begins 00:28 Audio clip ends 00:37 Jud Yalkut begins 00:50 Yalkut ends 00:51 Stan Brakhage begins 32:30 Brakhage ends 32:31 Yalkut begins 32:46 Yalkut ends 32:47 Brakhage begins 42:31 End,SegmentSequence,,,Art -- United States -- 20th century,lcsh,,,,,,,,,,,,,,,,,,,,,Artists -- United States -- Attitudes,lcsh,Filmmaking (Motion pictures),lcsh,"Brakhage, Stan",naf,Independent filmmakers -- United States -- Interviews,lcsh,Pittsburgh trilogy,,Anthology Film Archives,lcsh,Cineprobe,,,,narv_#03InnerCinema2,"Brakhage, Stan",naf,"Yalkut, Jud",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1972,audio/mp3,Sound,English,,,1086005,4606,%2303+Inner+Cinema+-2.jpg
narv_#04BensonBlueMoses,Robert Benson: Sound recording,The sound of birds chirping can be heard in the background. Robert Benson says a few lines. A woodwinds instrument is played.,Abstract,00:00 Robert Benson begins 09:18 Benson ends 09:19 Audio clip begins 14:58 End,SegmentSequence,,,Birdsongs,lcsh,,,,,,,,,,,,,,,,,,,,,Sound -- Recording and reproducing,lcsh,,,,,,,,,,,,,,,narv_#04BensonBlueMoses,"Brakhage, Stan",naf,"Benson, Robert, 1944-",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086007,4606,%2304+Benson+%27Blue+Moses%27.jpg
narv_#05JamesTenneyLecture,James Tenney lecture on computer-generated music,"Tenney begins by exploring the origins of new artistic techniques and then continues to describe computer-generated music (electronic music) as a result of a new technique. He goes into the scientific basis of sound, and then describes how a computer translates code into sounds. He explains the process of making electronic music on a computer. The speaker and audience members discuss various ways to create electronic music and the techniques involved. The lecture was given at Bell Labs.",Abstract,00:00 Tenney begins 38:37 Tenney ends 38:38 Discussion with the audience begins 43:22 End,SegmentSequence,,,"Tenney, James",naf,,,,,,,,,,,,,,,,,,,,,Computer music,lcsh,Electronic music,lcsh,Sound -- Recording and reproducing -- Digital techniques,lcsh,,,,,,,,,,,narv_#05JamesTenneyLecture,"Brakhage, Stan",naf,"Tenney, James",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1962,audio/mp3,Sound,English,,,1086009,4606,%2305+James+Tenney+lecture.jpg
narv_#06BabyBirthMyrrena,Sound track of 'Window Water Baby Moving',"This file contains the soundtrack to Stan Brakhage's film 'Window Water Baby Moving,' which features the birth of his first child, Myrrena. Jane Brakhage can be heard going through labor pains, while a nurse and doctor attempt to comfort her. Then Brakhages briefly speak to one another during the process. Myrrena's first cries can be heard at around 12:31.",Abstract,00:00 Audio clip begins 14:13 Audio clip ends 14:13 End,SegmentSequence,,,"Brakhage, Stan",naf,,,,,,,,,,,,,,,,,,,,,"Wodening, Jane, 1936-",naf,Window Water Baby Moving (Motion picture),,Delivery (Obstetrics),lcsh,Labor (Obstetrics),lcsh,Childbirth in art,lcsh,,,,,,,narv_#06BabyBirthMyrrena,"Brakhage, Stan",naf,"Wodening, Jane, 1936-",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086011,4606,%2306+Baby+Birth+Myrrena.jpg
narv_#07ConcreteAndComputerTenny,James Tenney: music pieces,"Music by James Tenney plays, including sections of 'Phases (For Edgar Varèse),'two piano pieces,' 'Blue Suede,' 'Analog #1, and 'Dialogue.'",Abstract,00:00 'Phases' begins 02:39 'Phases' ends 03:26 Music begins 08:22 Music ends 08:24 Music begins 11:21 Music ends 11:23 'Blue Suede' begins 14:46 'Blue Suede' ends 15:01 'Analog #1' begins 19:16 'Analog #1' ends 19:17 'Dialogue' begins 23:26 End,SegmentSequence,,,"Tenney, James",naf,,,,,,,,,,,,,,,,,,,,,Avant-garde (Music) -- United States,lcsh,Composers -- United States -- 20th century,lcsh,,,,,,,,,,,,,narv_#07ConcreteAndComputerTenny,"Brakhage, Stan",naf,"Tenney, James",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1086013,4606,%2307+Concrete+and+Computer+-+Tenny.jpg
narv_#08Ergodos1TapeBTenny,Ergodos 1 (Tape B) - music by James Tenney,James Tenney's 'Ergodos 1' plays. Note: See also 'Ergodos 1 (Tape A) - music by James Tenney.',Abstract,00:00 Audio clip begins 11:14 End,SegmentSequence,,,"Tenney, James",naf,,,,,,,,,,,,,,,,,,,,,Computer music,lcsh,Electronic music,lcsh,Avant-garde (Music) -- United States,lcsh,Ergodos I for John Cage,,Composers -- United States -- 20th century,lcsh,,,,,,,narv_#08Ergodos1TapeBTenny,"Brakhage, Stan",naf,"Tenney, James",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1086015,4606,%2308+Ergodos+1+tape+B+-+Tenny.jpg
